Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Static Method,"org.json.XML.toString",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,11,,,,0,,,,3,,,1,1,8,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"2.67",1,1,1,1
Public Static Method,"org.json.XML.toString",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,13,,,,0,,,,3,,,1,1,10,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"3.33",1,1,1,1
Public Static Method,"org.json.XML.toString",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16,,,,0,,,,4,,,2,1,12,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"3.00",1,1,1,1
Private Static Method,"org.json.XML.toString",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,146,,,,14,,,,102,,,13,78,30,,,,18,286,2,59,83,16,,,75,,,28,28,30,5,11,,,,,4,,6,4,,,"0.29",28,28,30,5
Public Static Method,"org.json.XML.toString",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,13,,,,0,,,,3,,,1,1,10,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"3.33",1,1,1,1
Public Static Method,"org.json.XML.toString",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,,,,0,,,,3,,,1,1,12,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"4.00",1,1,1,1
Public Static Method,"org.json.XML.toString",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,18,,,,0,,,,4,,,2,1,14,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"3.50",1,1,1,1
Public Static Method,"org.json.XML.unescape",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,,,,0,,,,19,,,5,14,11,,,,10,4,1,11,15,6,,,14,,,4,4,4,1,2,,,,,0,,3,0,,,"0.58",4,4,4,1
Public Class,"org.json.XMLParserConfiguration",1,1,1,1,13,0,5,8,1,10,1,0,,0,2,,,,17,4,,,,17,36,0,1,1,15,,294,,,,23,,,,100,,,42,48,171,,,,,,,45,63,30,,,41,,,,,,,,1,1,1,1,,2,0,,64,41,"1.71",17,17,17,17
Public Constructor,"org.json.XMLParserConfiguration.XMLParserConfiguration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,11,,,,0,,,,7,,,1,5,4,,,,8,1,0,5,6,1,,,5,,,1,1,1,1,0,,,,,0,,0,0,,,"0.57",1,1,1,1
Public Constructor,"org.json.XMLParserConfiguration.XMLParserConfiguration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,,,,0,,,,4,,,2,1,8,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Public Constructor,"org.json.XMLParserConfiguration.XMLParserConfiguration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,,,,0,,,,4,,,2,1,10,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"2.50",1,1,1,1
Public Constructor,"org.json.XMLParserConfiguration.XMLParserConfiguration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,,,,0,,,,6,,,2,3,10,,,,4,1,0,3,4,1,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Constructor,"org.json.XMLParserConfiguration.XMLParserConfiguration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,18,,,,0,,,,6,,,2,3,12,,,,4,1,0,3,4,1,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
